stop_id,stop_code,stop_lat,stop_lon
MCGWELN,1738,40.027556,-82.980963
MCGNORN,1739,40.030122,-82.980698
MCGOAKN,1740,40.031606,-82.980545
OAKATWW,1742,40.032323,-82.983821
OAKHIAW,1743,40.032441,-82.98605
OAKMAIW,1744,40.032568,-82.989142
MAIURAN,1745,40.035596,-82.989262
MAINORTN,1748,40.041603,-82.988754
OAKKARW,1750,40.032031,-82.977934
KARHUYN,1751,40.035553,-82.977851
KARPAUN,1752,40.03776,-82.977668
KARACTN,1753,40.039683,-82.977487
GEODELN,1755,39.944885,-83.11136
5THARLE,1756,39.989416,-83.060659
MAINORN,1759,40.044445,-82.988551
MAICOON,1760,40.047422,-82.988297
MAIHILN,1761,40.050869,-82.988035
MAIGARN,1763,40.054621,-82.987734
MAISHAN,1764,40.056703,-82.987551
MAIMORS,1767,40.059919,-82.987459
KARNORN,1771,40.057752,-82.976375
MAIGARS,1781,40.054528,-82.987908
MAICARBS,1782,40.051938,-82.988084
MAICOOS,1784,40.047925,-82.988417
MAINORS,1785,40.044499,-82.988686
MAIZEBS,1789,40.038838,-82.989135
MAIURAS,1791,40.035212,-82.989428
MAIDUNS,1792,40.0333,-82.989586
OAKOSCE,1793,40.0324,-82.987982
OAKATWE,1795,40.032227,-82.984206
MOUHIGW1,1797,39.954932,-82.99871
KARACTS,1803,40.039345,-82.977661
KARCARS,1804,40.037045,-82.977859
KARURAS,1805,40.03468,-82.978056
KAROAKS,1806,40.032382,-82.97825
MCGOAKS,1807,40.031479,-82.980703
MCGNORS,1808,40.030041,-82.980835
MCGWELS,1809,40.027801,-82.981064
MCGCOMS,1810,40.025701,-82.981291
MCGWEBS,1811,40.023662,-82.981499
MCGABES,1812,40.021554,-82.981608
MCGGENS,1813,40.019182,-82.98159
MCGBRIS,1814,40.01696,-82.981591
MCGCLIS,1816,40.012324,-82.981593
HAMDUXS,1818,40.008877,-82.979448
HAM21SS,1820,40.004048,-82.979763
STAHIAN,1821,40.1179,-82.928538
11TESSW,1825,39.994007,-82.987683
KAROAKN,1827,40.032305,-82.97813
11TGRAW,1829,39.994324,-82.995525
CLELEHS,1835,40.052279,-82.953688
CLEORMS,1836,40.046914,-82.956311
BRELEON,1842,39.988181,-82.950104
BREWOON,1843,39.991938,-82.949824
BRE1257N,1844,39.993947,-82.949665
BRELISN,1845,39.996483,-82.949456
BREHOLN,1847,39.999967,-82.949173
BREARGN,1849,40.004023,-82.948681
BREMIDN,1850,40.006189,-82.948205
CAS10TS,1853,39.989626,-82.930662
BREDAWN,1859,40.012122,-82.947678
BREMARN,1860,40.014678,-82.947925
MYRBREW,1861,40.016387,-82.948213
AGLPENW,1867,40.021088,-82.926409
HUDDELW,1869,40.013375,-82.959123
MAIBRIW,1875,39.955191,-82.810941
LIVQUAW,1879,39.94309,-82.840758
BREMYRS,1883,40.016027,-82.947893
BREMARS,1884,40.014159,-82.948257
BREMOCS,1885,40.012089,-82.947786
BREDELS,1892,40.009921,-82.948037
BREMIDS,1893,40.006493,-82.948324
BREARGS,1894,40.004002,-82.948864
BREHOLS,1896,40.00024,-82.949334
BREORIS,1897,39.99766,-82.949488
BRE125S,1899,39.994016,-82.949812
BREWOOS,1900,39.992036,-82.949948
BRELEOS,1901,39.988061,-82.95025
LIV4THE,1910,39.952582,-82.992868
LIV6THE,1911,39.952464,-82.990578
LIVGRANE,1912,39.95238,-82.988663
LIVKELW,1913,39.949246,-82.959852
LIVPARE,1914,39.95211,-82.98277
LIVANNE,1915,39.951533,-82.980465
LIV18TE,1916,39.950876,-82.978123
LIVCARE,1917,39.949987,-82.97577
LIV22NE,1918,39.949746,-82.972636
LIVCHAE,1920,39.949637,-82.970376
LIVWILE,1921,39.949499,-82.967531
LIVSTUE,1922,39.949341,-82.964215
LIVKELE,1925,39.949081,-82.958999
CLEMAINN,1926,40.123546,-82.948111
LIVBULE,1928,39.948717,-82.951593
LIVRHOE,1929,39.948615,-82.94953
LIVMEME,1930,39.948469,-82.946794
LIVCOLE,1933,39.947926,-82.936419
LIVCASE,1935,39.94776,-82.93288
LIVROOE,1937,39.94752,-82.928506
LIVBROE1,1940,39.947193,-82.922477
LIVWELE,1941,39.947053,-82.919713
LIVKELE1,1942,39.946922,-82.917413
LIVJAME,1943,39.946781,-82.914972
LIVZETE,1945,39.946517,-82.910144
LIVBARE,1946,39.946312,-82.906059
LIVCUNE,1947,39.94606,-82.901894
LIVCOUE,1948,39.945771,-82.896418
LIVBEEE,1949,39.945653,-82.894211
LIVVILE,1950,39.945503,-82.89169
LIVYEAE,1951,39.94529,-82.887862
LIVBURE,1952,39.945022,-82.883296
LIVGRAE,1953,39.944832,-82.879774
LIVHAME,1954,39.944647,-82.876709
LIVSIME,1955,39.944448,-82.873164
LIVSHAE,1956,39.944362,-82.871636
MAISHAE,1962,39.955218,-82.870853
MAICOUE,1963,39.955121,-82.867501
LIVCOUNW,1970,39.944344,-82.868668
LIVSHAW,1971,39.944474,-82.871041
LIVHAMW,1973,39.944898,-82.878506
LIVWESW,1975,39.945181,-82.883452
LIVYEAW,1976,39.945396,-82.887141
LIVELDW,1977,39.94565,-82.891513
LIVBEEW,1978,39.94583,-82.894819
LIVCOURW,1979,39.945984,-82.897582
